Column1,Column2,Column3,Column4,Column5,Column6
,,,,,
"Statistical table extracted on February 12, 2026 (14:19:13)",,,,,
http://www.ine.pt,,,,,
,,,,,
,,,,,
,,,,,
Data reference period,Place of residence at Census date [2021] (NUTS - 2024),"Resident population (No.) by Place of residence at Census date [2021] (NUTS - 2024), Sex and Age -  Decennial",,,
,,Sex,,,
,,MF,M,F,
,,Age,,,
,,Total,,,
,,No. ,No. ,No. ,
2021,PT: Portugal,10343066,4920220,5422846,
,1: Continente,9855909,4687055,5168854,
,11: Norte,3586586,1707820,1878766,
,111: Alto Minho,231266,108355,122911,
,1601: Arcos de Valdevez,20718,9483,11235,
,160101: Aboim das Choças,295,126,169,
,160102: Aguiã,707,344,363,
,160104: Ázere,207,99,108,
,160105: Cabana Maior,177,79,98,
,160106: Cabreiro,324,138,186,
,160108: Cendufe,308,147,161,
,160109: Couto,646,294,352,
,160113: Gavieira,258,110,148,
,160115: Gondoriz,861,396,465,
,160142: Jolda (São Paio),316,137,179,
,160121: Miranda,245,100,145,
,160122: Monte Redondo,196,93,103,
,160123: Oliveira,327,148,179,
,160124: Paçô,970,466,504,
,160125: Padroso,197,92,105,
,160128: Prozelo,815,376,439,
,160131: Rio de Moinhos,433,213,220,
,160130: Rio Frio,536,228,308,
,160133: Sabadim,410,187,223,
,160144: Senharei,164,79,85,
,160145: Sistelo,199,75,124,
,160146: Soajo,670,289,381,
,160152: União das freguesias de Alvora e Loureda,378,157,221,
,"160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",2754,1227,1527,
,160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela,1676,787,889,
,160155: União das freguesias de Eiras e Mei,322,151,171,
,160156: União das freguesias de Grade e Carralcova,450,190,260,
,160157: União das freguesias de Guilhadeses e Santar,1172,538,634,
,160158: União das freguesias de Jolda (Madalena) e Rio Cabrão,421,203,218,
,160159: União das freguesias de Padreiro (Salvador e Santa Cristina),349,156,193,
,160160: União das freguesias de Portela e Extremo,323,158,165,
,160161: União das freguesias de São Jorge e Ermelo,713,322,391,
,160162: União das freguesias de Souto e Tabaçô,913,432,481,
,160163: União das freguesias de Távora (Santa Maria e São Vicente),848,415,433,
,"160164: União das freguesias de Vilela, São Cosme e São Damião e Sá",476,219,257,
,160149: Vale,662,312,350,
,1602: Caminha,15797,7345,8452,
,160201: Âncora,1186,574,612,
,160205: Argela,375,178,197,
,160209: Dem,309,146,163,
,160211: Lanhelas,897,421,476,
,160214: Riba de Âncora,680,335,345,
,160215: Seixas,1413,658,755,
,"160221: União das freguesias de Arga (Baixo, Cima e São João)",159,72,87,
,160222: União das freguesias de Caminha (Matriz) e Vilarelho,2373,1044,1329,
,160223: União das freguesias de Gondar e Orbacém,398,183,215,
,160224: União das freguesias de Moledo e Cristelo,1490,703,787,
,160225: União das freguesias de Venade e Azevedo,881,411,470,
